word,colour,congruent,corrAns,n,imgBlue.started_mean,imgBlue.started_raw,,,,,imgBlue.started_std,imgBlue.stopped_raw,,,,,imgGreen.started_mean,imgGreen.started_raw,,,,,imgGreen.started_std,imgGreen.stopped_raw,,,,,imgRed.started_mean,imgRed.started_raw,,,,,imgRed.started_std,imgRed.stopped_raw,,,,,imgYellow.started_mean,imgYellow.started_raw,,,,,imgYellow.started_std,imgYellow.stopped_raw,,,,,mouse.clicked_name_raw,,,,,mouse.leftButton_mean,mouse.leftButton_raw,,,,,mouse.leftButton_std,mouse.midButton_mean,mouse.midButton_raw,,,,,mouse.midButton_std,mouse.rightButton_mean,mouse.rightButton_raw,,,,,mouse.rightButton_std,mouse.started_mean,mouse.started_raw,,,,,mouse.stopped_raw,,,,,mouse.time_mean,mouse.time_raw,,,,,mouse.time_std,mouse.x_mean,mouse.x_raw,,,,,mouse.y_mean,mouse.y_raw,,,,,targetTxt.started_mean,targetTxt.started_raw,,,,,targetTxt.started_std,targetTxt.stopped_raw,,,,,order,,,,
قرمز,red,1,imgRed,5.0,50.241705322265624,41.7394905090332, 47.33942413330078, 50.02203369140625, 53.620845794677734, 58.486717224121094,6.327676509778378,, , , , ,50.241705322265624,41.7394905090332, 47.33942413330078, 50.02203369140625, 53.620845794677734, 58.486717224121094,6.327676509778378,, , , , ,50.241705322265624,41.7394905090332, 47.33942413330078, 50.02203369140625, 53.620845794677734, 58.486717224121094,6.327676509778378,, , , , ,50.241705322265624,41.7394905090332, 47.33942413330078, 50.02203369140625, 53.620845794677734, 58.486717224121094,6.327676509778378,, , , , ,'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow',1.0,1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.008777071999793407,0.015476480002689641, 0.003961919996072538, 0.008567820004827809, 0.00786371999856783, 0.008015419996809214,, , , , ,30.35,22.00199317932129, 27.40037727355957, 30.083816528320312, 33.698726654052734, 38.565086364746094,6.268212662530445,0.062222222222222213,0.05925925925925926, 0.06296296296296296, 0.06296296296296296, 0.06296296296296296, 0.06296296296296296,-0.15388888888888888,-0.15462962962962962, -0.15648148148148147, -0.15555555555555556, -0.15462962962962962, -0.14814814814814814,50.241705322265624,41.7394905090332, 47.33942413330078, 50.02203369140625, 53.620845794677734, 58.486717224121094,6.327676509778378,, , , , ,4.0, 24.0, 36.0, 51.0, 69.0
قرمز,blue,0,imgBlue,5.0,50.75834655761719,42.9725227355957, 44.90617370605469, 51.4877815246582, 53.171844482421875, 61.253414154052734,7.269292797962751,, , , , ,50.75834655761719,42.9725227355957, 44.90617370605469, 51.4877815246582, 53.171844482421875, 61.253414154052734,7.269292797962751,, , , , ,50.75834655761719,42.9725227355957, 44.90617370605469, 51.4877815246582, 53.171844482421875, 61.253414154052734,7.269292797962751,, , , , ,50.75834655761719,42.9725227355957, 44.90617370605469, 51.4877815246582, 53.171844482421875, 61.253414154052734,7.269292797962751,, , , , ,'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow',1.0,1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.008200319999014027,0.008718119999684859, 0.00848312000016449, 0.008043519999773707, 0.006757419992936775, 0.008999420002510305,, , , , ,30.846697998046874,23.03387451171875, 24.917726516723633, 31.550064086914062, 33.249210357666016, 41.48262405395508,7.341366123118755,0.061111111111111116,0.05925925925925926, 0.058333333333333334, 0.06296296296296296, 0.06296296296296296, 0.062037037037037036,-0.1548148148148148,-0.15462962962962962, -0.1537037037037037, -0.15462962962962962, -0.15462962962962962, -0.15648148148148147,50.75834655761719,42.9725227355957, 44.90617370605469, 51.4877815246582, 53.171844482421875, 61.253414154052734,7.269292797962751,, , , , ,9.0, 19.0, 42.0, 49.0, 74.0
قرمز,green,0,imgGreen,5.0,49.475033569335935,38.8743896484375, 47.5386848449707, 50.221290588378906, 52.95414733886719, 57.786651611328125,7.033264259144093,, , , , ,49.475033569335935,38.8743896484375, 47.5386848449707, 50.221290588378906, 52.95414733886719, 57.786651611328125,7.033264259144093,, , , , ,49.475033569335935,38.8743896484375, 47.5386848449707, 50.221290588378906, 52.95414733886719, 57.786651611328125,7.033264259144093,, , , , ,49.475033569335935,38.8743896484375, 47.5386848449707, 50.221290588378906, 52.95414733886719, 57.786651611328125,7.033264259144093,, , , , ,'imgGreen', 'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow',1.0,1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.004880279996723402,0.0005902199991396628, 0.0007626200022059493, 0.008565119991544634, 0.007622519995493349, 0.0068609199952334166,, , , , ,29.72667236328125,19.785009384155273, 27.61788558959961, 30.315555572509766, 33.03287887573242, 37.882041931152344,6.728140199435175,0.05796296296296295,0.03796296296296296, 0.06296296296296296, 0.06296296296296296, 0.06296296296296296, 0.06296296296296296,-0.15499999999999997,-0.16018518518518518, -0.15648148148148147, -0.15555555555555556, -0.15462962962962962, -0.14814814814814814,49.475033569335935,38.8743896484375, 47.5386848449707, 50.221290588378906, 52.95414733886719, 57.786651611328125,7.033264259144093,, , , , ,2.0, 25.0, 37.0, 48.0, 66.0
قرمز,yellow,0,imgYellow,5.0,51.131622314453125,43.356815338134766, 45.42283248901367, 49.0552978515625, 55.53706741333008, 62.286109924316406,7.764978564411175,, , , , ,51.131622314453125,43.356815338134766, 45.42283248901367, 49.0552978515625, 55.53706741333008, 62.286109924316406,7.764978564411175,, , , , ,51.131622314453125,43.356815338134766, 45.42283248901367, 49.0552978515625, 55.53706741333008, 62.286109924316406,7.764978564411175,, , , , ,51.131622314453125,43.356815338134766, 45.42283248901367, 49.0552978515625, 55.53706741333008, 62.286109924316406,7.764978564411175,, , , , ,'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow',1.0,1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.007693959996686317,0.006272719998378307, 0.0075652199957403354, 0.008143319995724596, 0.007753219993901439, 0.008735319999686908,, , , , ,31.229986572265624,23.41786003112793, 25.617053985595703, 29.10004234313965, 35.58369445800781, 42.431278228759766,7.770049917224713,0.06074074074074074,0.058333333333333334, 0.05740740740740741, 0.06296296296296296, 0.06296296296296296, 0.062037037037037036,-0.15351851851851853,-0.1537037037037037, -0.15092592592592594, -0.15648148148148147, -0.15185185185185185, -0.15462962962962962,51.131622314453125,43.356815338134766, 45.42283248901367, 49.0552978515625, 55.53706741333008, 62.286109924316406,7.764978564411175,, , , , ,11.0, 22.0, 32.0, 59.0, 77.0
آبی,red,0,imgRed,5.0,51.114752197265624,43.755615234375, 48.48881530761719, 50.85477066040039, 55.103878021240234, 57.37068176269531,5.38910501274629,, , , , ,51.114752197265624,43.755615234375, 48.48881530761719, 50.85477066040039, 55.103878021240234, 57.37068176269531,5.38910501274629,, , , , ,51.114752197265624,43.755615234375, 48.48881530761719, 50.85477066040039, 55.103878021240234, 57.37068176269531,5.38910501274629,, , , , ,51.114752197265624,43.755615234375, 48.48881530761719, 50.85477066040039, 55.103878021240234, 57.37068176269531,5.38910501274629,, , , , ,'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow',1.0,1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.007332179995137267,0.008553719999326859, 0.007236419995024335, 0.007560919992101844, 0.008262219991593156, 0.00504761999764014,, , , , ,31.2598388671875,23.8010196685791, 28.533472061157227, 31.133617401123047, 35.18263244628906, 37.64844512939453,5.46089715831565,0.06203703703703702,0.058333333333333334, 0.06296296296296296, 0.06296296296296296, 0.06296296296296296, 0.06296296296296296,-0.15296296296296297,-0.1537037037037037, -0.15648148148148147, -0.15462962962962962, -0.15185185185185185, -0.14814814814814814,51.114752197265624,43.755615234375, 48.48881530761719, 50.85477066040039, 55.103878021240234, 57.37068176269531,5.38910501274629,, , , , ,13.0, 29.0, 40.0, 57.0, 65.0
آبی,blue,1,imgBlue,5.0,51.41505737304688,43.5567626953125, 45.23941421508789, 51.27203369140625, 54.43704605102539, 62.570045471191406,7.639993365010871,, , , , ,51.41505737304688,43.5567626953125, 45.23941421508789, 51.27203369140625, 54.43704605102539, 62.570045471191406,7.639993365010871,, , , , ,51.41505737304688,43.5567626953125, 45.23941421508789, 51.27203369140625, 54.43704605102539, 62.570045471191406,7.639993365010871,, , , , ,51.41505737304688,43.5567626953125, 45.23941421508789, 51.27203369140625, 54.43704605102539, 62.570045471191406,7.639993365010871,, , , , ,'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow',1.0,1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.007795959999202751,0.006466519997047726, 0.00837912000133656, 0.009165919997030869, 0.007063320001179818, 0.00790491999941878,, , , , ,31.49957275390625,23.617549896240234, 25.28359603881836, 31.34965705871582, 34.516178131103516, 42.73088073730469,7.681622754773788,0.06055555555555555,0.058333333333333334, 0.05740740740740741, 0.06296296296296296, 0.06296296296296296, 0.06111111111111111,-0.1524074074074074,-0.1537037037037037, -0.15092592592592594, -0.15462962962962962, -0.1537037037037037, -0.14907407407407408,51.41505737304688,43.5567626953125, 45.23941421508789, 51.27203369140625, 54.43704605102539, 62.570045471191406,7.639993365010871,, , , , ,12.0, 21.0, 41.0, 54.0, 78.0
آبی,green,0,imgGreen,5.0,52.35780029296875,42.572731018066406, 48.304893493652344, 52.337669372558594, 56.9534797668457, 61.6202278137207,7.400791729543819,, , , , ,52.35780029296875,42.572731018066406, 48.304893493652344, 52.337669372558594, 56.9534797668457, 61.6202278137207,7.400791729543819,, , , , ,52.35780029296875,42.572731018066406, 48.304893493652344, 52.337669372558594, 56.9534797668457, 61.6202278137207,7.400791729543819,, , , , ,52.35780029296875,42.572731018066406, 48.304893493652344, 52.337669372558594, 56.9534797668457, 61.6202278137207,7.400791729543819,, , , , ,'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow',1.0,1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.006972999997378793,0.008221520001825411, 0.0081978199959849, 0.008312319994729478, 0.005971419996058103, 0.004161919998296071,, , , , ,32.44654235839844,22.634815216064453, 28.350582122802734, 32.39933776855469, 37.03278732299805, 41.815185546875,7.447385885476871,0.062037037037037036,0.05925925925925926, 0.06296296296296296, 0.06296296296296296, 0.06296296296296296, 0.062037037037037036,-0.15425925925925926,-0.15462962962962962, -0.15648148148148147, -0.15462962962962962, -0.15, -0.15555555555555556,52.35780029296875,42.572731018066406, 48.304893493652344, 52.337669372558594, 56.9534797668457, 61.6202278137207,7.400791729543819,, , , , ,7.0, 28.0, 45.0, 63.0, 75.0
آبی,yellow,0,imgYellow,5.0,50.36503601074219,39.923065185546875, 45.75586700439453, 49.43891525268555, 53.838233947753906, 62.86909103393555,8.653776476696732,, , , , ,50.36503601074219,39.923065185546875, 45.75586700439453, 49.43891525268555, 53.838233947753906, 62.86909103393555,8.653776476696732,, , , , ,50.36503601074219,39.923065185546875, 45.75586700439453, 49.43891525268555, 53.838233947753906, 62.86909103393555,8.653776476696732,, , , , ,50.36503601074219,39.923065185546875, 45.75586700439453, 49.43891525268555, 53.838233947753906, 62.86909103393555,8.653776476696732,, , , , ,'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow',1.0,1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.006767040000704582,0.005191419993934687, 0.00836472000082722, 0.003916319998097606, 0.008568320001359098, 0.007794420009304304,, , , , ,30.529696655273437,20.43503189086914, 25.8005313873291, 29.482601165771484, 33.899227142333984, 43.03108596801758,8.558652642989374,0.06129629629629629,0.06388888888888888, 0.05555555555555555, 0.06296296296296296, 0.06296296296296296, 0.06111111111111111,-0.15500000000000003,-0.1675925925925926, -0.14722222222222223, -0.15648148148148147, -0.15462962962962962, -0.14907407407407408,50.36503601074219,39.923065185546875, 45.75586700439453, 49.43891525268555, 53.838233947753906, 62.86909103393555,8.653776476696732,, , , , ,3.0, 23.0, 34.0, 52.0, 79.0
سبز,red,0,imgRed,5.0,50.65504760742188,44.13947677612305, 44.70572280883789, 51.68882751464844, 54.03791046142578, 58.703304290771484,6.227640533207278,, , , , ,50.65504760742188,44.13947677612305, 44.70572280883789, 51.68882751464844, 54.03791046142578, 58.703304290771484,6.227640533207278,, , , , ,50.65504760742188,44.13947677612305, 44.70572280883789, 51.68882751464844, 54.03791046142578, 58.703304290771484,6.227640533207278,, , , , ,50.65504760742188,44.13947677612305, 44.70572280883789, 51.68882751464844, 54.03791046142578, 58.703304290771484,6.227640533207278,, , , , ,'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow',1.0,1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.006983679997210857,0.008462519996101037, 0.004883019995759241, 0.0063980199993238784, 0.008807019999949262, 0.006367819994920865,, , , , ,30.8067138671875,24.202091217041016, 24.767330169677734, 31.966215133666992, 34.29941177368164, 38.79852294921875,6.275101394663038,0.0611111111111111,0.058333333333333334, 0.058333333333333334, 0.06296296296296296, 0.06296296296296296, 0.06296296296296296,-0.15277777777777776,-0.1537037037037037, -0.1537037037037037, -0.15462962962962962, -0.1537037037037037, -0.14814814814814814,50.65504760742188,44.13947677612305, 44.70572280883789, 51.68882751464844, 54.03791046142578, 58.703304290771484,6.227640533207278,, , , , ,15.0, 18.0, 43.0, 53.0, 70.0
سبز,blue,0,imgBlue,5.0,51.311492919921875,43.172569274902344, 45.05561447143555, 50.654720306396484, 55.72120666503906, 61.953365325927734,7.721794920016251,, , , , ,51.311492919921875,43.172569274902344, 45.05561447143555, 50.654720306396484, 55.72120666503906, 61.953365325927734,7.721794920016251,, , , , ,51.311492919921875,43.172569274902344, 45.05561447143555, 50.654720306396484, 55.72120666503906, 61.953365325927734,7.721794920016251,, , , , ,51.311492919921875,43.172569274902344, 45.05561447143555, 50.654720306396484, 55.72120666503906, 61.953365325927734,7.721794920016251,, , , , ,'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow',1.0,1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.00725685999932466,0.009057219998794608, 0.006695819996821228, 0.006728120002662763, 0.006749319996742997, 0.007053820001601707,, , , , ,31.506362915039062,23.21760368347168, 25.100019454956055, 30.71767807006836, 36.34882354736328, 42.1476936340332,7.858977897264163,0.060925925925925925,0.058333333333333334, 0.058333333333333334, 0.06296296296296296, 0.06296296296296296, 0.062037037037037036,-0.15407407407407409,-0.1537037037037037, -0.1537037037037037, -0.15555555555555556, -0.15185185185185185, -0.15555555555555556,51.311492919921875,43.172569274902344, 45.05561447143555, 50.654720306396484, 55.72120666503906, 61.953365325927734,7.721794920016251,, , , , ,10.0, 20.0, 39.0, 60.0, 76.0
